category_list,Automotive & Sports,Blanks,Cleantech / Semiconductors,Entertainment,Health,Manufacturing,"News, Search and Messaging",Others,"Social, Finance, Analytics, Advertising"
Realtors,0,0,0,0,0,0,0,1,0
Recreation,0,0,0,0,0,0,0,1,0
Recruiting,0,0,0,0,0,0,1,0,0
Recycling,0,0,1,0,0,0,0,0,0
Religion,0,0,0,0,0,0,0,1,0
Renewable Energies,0,0,1,0,0,0,0,0,0
Renewable Tech,0,0,1,0,0,0,0,0,0
Rental Housing,0,0,0,0,0,0,0,1,0
Reputation,0,0,0,0,0,0,0,1,0
Resorts,0,0,0,1,0,0,0,0,0
Restaurants,0,0,0,1,0,0,0,0,0
Retail,0,0,0,0,0,0,0,0,1
Retail Technology,0,0,0,0,0,0,0,0,1
Reviews and Recommendations,0,0,0,1,0,0,0,0,0
RFID,0,0,0,0,0,0,0,1,0
Ride Sharing,0,0,0,0,0,0,1,0,0
Risk Ma0gement,0,0,0,0,0,0,0,0,1
Robotics,0,0,0,0,0,0,0,1,0
SaaS,0,0,0,0,0,0,0,1,0
Sales and Marketing,0,0,0,0,0,0,0,0,1
Sales Automation,0,0,0,0,0,0,0,1,0
Search,0,0,0,0,0,0,1,0,0
Search Marketing,0,0,0,0,0,0,1,0,0
Security,0,0,0,0,0,0,0,1,0
Semiconductor Manufacturing Equipment,0,0,1,0,0,0,0,0,0
Semiconductors,0,0,1,0,0,0,0,0,0
Senior Citizens,0,0,0,0,1,0,0,0,0
Senior Health,0,0,0,0,1,0,0,0,0
Sensors,0,0,0,0,0,0,0,1,0
SEO,0,0,0,0,0,0,1,0,0
Service Industries,0,0,0,0,0,0,0,1,0
Service Providers,0,0,0,0,0,0,0,1,0
Services,0,0,0,0,0,0,0,1,0
SexTech,0,0,0,0,1,0,0,0,0
Shared Services,0,0,0,0,0,0,0,1,0
Shipping,0,0,0,0,0,0,0,1,0
Shoes,0,0,0,1,0,0,0,0,0
Shopping,0,0,0,1,0,0,0,0,0
Simulation,0,0,0,0,0,0,0,1,0
Skill Assessment,0,0,0,0,0,0,0,1,0
Small and Medium Businesses,0,0,0,0,0,0,0,1,0
Smart Grid,0,0,0,0,0,0,0,1,0
SNS,0,0,0,0,0,0,0,1,0
Soccer,1,0,0,0,0,0,0,0,0
Social + Mobile + Local,0,0,0,0,0,0,0,0,1
Social Bookmarking,0,0,0,0,0,0,0,0,1
Social Business,0,0,0,0,0,0,0,0,1
Social Buying,0,0,0,0,0,0,0,0,1
Social Commerce,0,0,0,0,0,0,0,0,1
Social CRM,0,0,0,0,0,0,0,0,1
Social Fundraising,0,0,0,0,0,0,0,0,1
Social Games,0,0,0,0,0,0,0,0,1
Social Media,0,0,0,0,0,0,0,0,1
Social Media Ma0gement,0,0,0,0,0,0,0,0,1
Social Media Marketing,0,0,0,0,0,0,0,0,1
Social Media Platforms,0,0,0,0,0,0,0,0,1
Social Network Media,0,0,0,0,0,0,0,0,1
Social News,0,0,0,0,0,0,0,0,1
Social Recruiting,0,0,0,0,0,0,0,0,1
Social Television,0,0,0,0,0,0,0,0,1
Social Travel,0,0,0,0,0,0,0,0,1
Software,0,0,0,0,0,0,0,1,0
Solar,0,0,1,0,0,0,0,0,0
Space Travel,0,0,1,0,0,0,0,0,0
Specialty Chemicals,0,0,0,0,1,0,0,0,0
Specialty Foods,0,0,0,0,1,0,0,0,0
Speech Recognition,0,0,0,0,1,0,0,0,0
Sporting Goods,1,0,0,0,0,0,0,0,0
Sports,1,0,0,0,0,0,0,0,0
Staffing Firms,0,0,0,0,0,0,0,1,0
Startups,0,0,0,0,0,0,0,1,0
Stock Exchanges,0,0,0,0,0,0,0,0,1
Storage,0,0,0,0,0,1,0,0,0
Subscription Service,0,0,0,0,0,0,0,1,0
Supply Chain Ma0gement,0,0,0,0,0,0,0,1,0
Surveys,0,0,0,0,0,0,0,1,0
Synchronization,0,0,0,0,0,0,0,1,0
Systems,0,0,0,0,0,0,0,1,0
Task Ma0gement,0,0,0,0,0,0,0,1,0
Taxis,0,0,0,0,0,0,0,1,0
Tea,0,0,0,0,0,0,0,1,0
Technology,0,0,0,0,0,0,0,1,0
Telecommunications,0,0,0,0,0,0,0,1,0
Television,0,0,0,1,0,0,0,0,0
Textiles,0,0,0,0,0,0,0,1,0
Theatre,0,0,0,1,0,0,0,0,0
Therapeutics,0,0,0,0,1,0,0,0,0
Ticketing,0,0,0,1,0,0,0,0,0
Tourism,0,0,0,1,0,0,0,0,0
Tracking,0,0,0,0,0,0,0,1,0
Trading,0,0,0,0,0,0,0,1,0
Training,0,0,0,0,0,0,0,1,0
Translation,0,0,0,0,0,0,0,1,0
Transportation,1,0,0,0,0,0,0,0,0
Travel,0,0,0,1,0,0,0,0,0
Travel & Tourism,0,0,0,1,0,0,0,0,0
Universities,0,0,0,0,0,0,0,1,0
University Students,0,0,0,0,0,0,0,1,0
Unmanned Air Systems,1,0,0,0,0,0,0,0,0
Usability,0,0,0,0,0,0,0,1,0
User Experience Design,0,0,0,0,0,0,0,1,0
User Interface,0,0,0,0,0,0,0,1,0
Utilities,0,0,0,0,0,0,0,1,0
Vending and Concessions,0,0,0,0,0,0,0,1,0
Venture Capital,0,0,0,0,0,0,0,0,1
Veteri0ry,0,0,0,0,1,0,0,0,0
Video,0,0,0,1,0,0,0,0,0
Video Conferencing,0,0,0,1,0,0,0,0,0
Video Games,0,0,0,1,0,0,0,0,0
Video on Demand,0,0,0,1,0,0,0,0,0
Video Streaming,0,0,0,1,0,0,0,0,0
Virtual Workforces,0,0,0,1,0,0,0,0,0
VoIP,0,0,0,1,0,0,0,0,0
Waste Ma0gement,0,0,1,0,0,0,0,0,0
Watch,0,0,0,0,0,0,0,1,0
Water,0,0,1,0,0,0,0,0,0
Water Purification,0,0,1,0,0,0,0,0,0
Wearables,0,0,1,0,0,0,0,0,0
Web Browsers,0,0,0,0,0,0,1,0,0
Web Design,0,0,0,0,0,0,1,0,0
Web Development,0,0,0,0,0,0,0,1,0
Web Hosting,0,0,0,0,0,0,0,1,0
Web Tools,0,0,0,0,0,0,0,1,0
Weddings,0,0,0,1,0,0,0,0,0
Wholesale,0,0,0,0,0,0,0,1,0
Wine And Spirits,0,0,0,1,0,0,0,0,0
Wireless,0,0,0,1,0,0,0,0,0
Women,0,0,0,0,0,0,0,1,0
Young Adults,0,0,0,0,0,0,0,1,0
